id,title,organiser,start,end,city,country,region,format,topics,audience,cost,costDisplay,url,flags,summary
EVT-C6233787B3,LCIA Seminar in Singapore,LCIA,2026-08-27,2026-08-27,Singapore,Singapore,APAC,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Register your interest,https://www.lcia.org/lcia-events/events_schedule.aspx,,"Part of Singapore Convention Week. Seminar featuring LCIA Rules introduction, panel discussion, and interactive forum with networking reception."
EVT-93A90917D7,GAR Live: Asia-Pacific,Global Arbitration Review,2026-08-27,2026-08-27,Singapore,Singapore,APAC,In-person,Arbitration; Disputes,Mixed,Paid,Further information,https://events.globalarbitrationreview.com/garapac2026/11874401,,Leading arbitration conference supported by LCIA focusing on Asia-Pacific region disputes and arbitration practice.
EVT-7EC421BA8A,LCIA Tylney in Town Symposium in Singapore,LCIA,2026-08-27,2026-08-27,Singapore,Singapore,APAC,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Register,https://www.lcia.org/events/2026-lcia-tylney-in-town-symposium-in-singapore-391.aspx,,"Interactive symposium during Singapore Convention Week using the traditional LCIA Tylney format, with topics submitted by delegates in advance for open forum discussion."
EVT-D416D9F3E4,ROAP ASIA 2026 FINALS,Delos Dispute Resolution,2026-08-27,2026-08-27,Virtual,,APAC,Virtual,Arbitration; Disputes; Networking,Mixed,Free,View Detail,https://delosdr.org/my-events/roap-asia-2026-finals-27-august-2026/,,"The finals of the ROAP Asia 2026 arbitration competition, organised by Delos Dispute Resolution. This event brings together teams competing in an international commercial arbitration moot exercise for the Asia region."
EVT-2E3591B1A6,Arbitrating the Next Generation of Technology Disputes,LCIA,2026-08-28,2026-08-28,Singapore,Singapore,APAC,In-person,Arbitration; Disputes,Mixed,Paid,Register,https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=x0AuN8sUnUSLqq5AZaz2_mdfxVcgx9ZBjxQPE9OTgHpUQUpBRTFIRUY3VUFKSlJEVUpISjc4WlpZTC4u,,"Session covering emerging technology disputes including post-M&A technology investments, AI and digital assets issues, and contractual disputes in the global data centre sector."
EVT-45AB021B44,"Compliance, governance and innovation: balancing risks and opportunities of doing business in Latin America",International Bar Association,2026-08-31,2026-09-02,São Paulo,Brazil,LATAM,In-person,Compliance; ABC; Bribery,Mixed,Paid,Book now,https://www.ibanet.org/conference-details/CONF2801,,"Conference examining compliance frameworks, governance structures and risk management for business operations in Latin American markets."
EVT-41067DE169,India ADR Week,India ADR Week,2026-09-07,2026-09-11,Bengaluru,India,APAC,In-person,Arbitration; Mediation; Disputes,Mixed,Paid,Further information,https://www.adrweek.in/,,"Week of events across Bengaluru, Mumbai and New Delhi focusing on latest trends in international dispute resolution."
EVT-3F6BC62EC0,ICC United Kingdom Delegation Visit to the ICC International Court of Arbitration,ICC United Kingdom,2026-09-09,2026-09-09,London,United Kingdom,UK,In-person,Arbitration; Disputes,Mixed,Invite-only,Please get in touch to find out more,https://iccwbo.uk/events/icc-united-kingdom-delegation-visit-to-the-icc-international-court-of-arbitration-9-september-2026/,,A delegation visit to the ICC International Court of Arbitration in London for members and invited guests to learn about arbitration processes and engage with the court.
EVT-1E31B08AAC,ICC United Kingdom Delegation Visit to the ICC International Court of Arbitration,ICC United Kingdom,2026-09-09,2026-09-09,Paris,France,Europe,In-person,Arbitration; Disputes,Mixed,Invite-only,Please get in touch to find out more,https://iccwbo.uk/events/icc-united-kingdom-delegation-visit-to-the-icc-international-court-of-arbitration-9-september-2026/,,Delegation visit to the ICC International Court of Arbitration in Paris for ICC UK members and invitees to engage with the Court's operations and arbitration practitioners.
EVT-3C61BEB765,LCIA Tylney Hall Symposia,LCIA,2026-09-11,2026-09-13,Hampshire,United Kingdom,UK,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Register,https://www.lcia.org/events/2026-lcia-september-tylney-hall-symposium-366.aspx,Flagship,"Two-day flagship symposium at Tylney Hall following the established LCIA tradition of open forum discussion, based on delegate-submitted topics."
EVT-5DC8D23D3D,YIAG Tylney Hall Symposium,LCIA YIAG,2026-09-11,2026-09-11,Hampshire,United Kingdom,UK,In-person,Arbitration,Junior,Paid,Register,https://www.lcia.org/events/2026-yiag-september-tylney-hall-symposium-364.aspx,,"Half-day symposium at Tylney Hall preceding the LCIA Symposium, featuring open forum discussion on topics submitted by delegates in advance."
EVT-80A4BDD440,Chief Litigation Officer Summit 2026,Unknown,2026-09-17,2026-09-17,Boston,United States,North America,In-person,Litigation; Networking,Senior,Invite-only,Invitation only,https://www.cdr-news.com/conferences/chief-litigation-officer-summit-2026-september,,An invitation-only forum bringing together senior litigation leaders and solution providers for high-value networking and knowledge exchange focused on litigation leadership.
EVT-DED2230069,China Arbitration Summit,CIETAC,2026-09-18,2026-09-18,Beijing,China,APAC,In-person,Arbitration; Disputes; Policy,Senior,Paid,Further information,http://www.chinaarbitrationweek.org/index/activity/detail/id/789.html,Flagship,"Flagship summit of China Arbitration Week focusing on international arbitration in a changing world, strengthening rule of law integration."
EVT-CCD95DEC43,YIAG Fireside Chat and Meet & Mingle in Beijing,LCIA YIAG,2026-09-21,2026-09-21,Beijing,China,APAC,In-person,Arbitration; Networking,Junior,Free,Register,https://www.lcia.org/events/2026-yiag-fireside-chat-and-meet-and-mingle-in-beijing-396.aspx,,Informal Q&A session with LCIA Director General Kevin Nash and Senior Counsel Yang Zhao for younger arbitration practitioners in Beijing.
EVT-9C6CFC0D83,Arbitration and ADR Committee Meeting,ICC United Kingdom,2026-09-23,2026-09-23,London,United Kingdom,UK,In-person,Arbitration; Mediation; Disputes,Mixed,Invite-only,Members & invite only,https://iccwbo.uk/events/arbitration-and-adr-committee-meeting-23-september-2026/,,A committee meeting for ICC members and invited practitioners focusing on arbitration and alternative dispute resolution matters.
EVT-FBF4C6251A,Arbitration and ADR Committee Meeting,ICC United Kingdom,2026-09-23,2026-09-23,,UK,UK,In-person,Arbitration; Mediation; Disputes,Mixed,Invite-only,Members & invite only,https://iccwbo.uk/events/arbitration-and-adr-committee-meeting-23-september-2026/,,"Members-only committee meeting focused on arbitration and alternative dispute resolution matters, held in-person for ICC UK members and invited guests."
EVT-4513AC7332,Side Event of the Berlin Dispute Resolution Days,CIArb,2026-09-28,2026-09-28,Berlin,Germany,Europe,In-person,Arbitration; Disputes; Policy,Senior,Paid,Register,https://www.ciarb.org/events/side-event-of-the-berlin-dispute-resolution-days/,,Side event examining ongoing reforms to arbitration frameworks and shifts in international dispute resolution practice.
EVT-4AAF244FCE,Istanbul Arbitration Days,Istanbul Arbitration Days,2026-09-29,2026-10-02,Istanbul,Türkiye,MENA,In-person,Arbitration; Disputes,Mixed,Paid,Further information,https://istanbularbitrationdays.com/,,Multi-day arbitration event in Istanbul supported by LCIA.
EVT-1C7BBED343,LCIA Tylney in Town Symposium in Berlin,LCIA,2026-09-29,2026-09-29,Berlin,Germany,Europe,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Register,https://www.lcia.org/events/2026-lcia-tylney-in-town-symposium-in-berlin-388.aspx,,"Symposium during Berlin Dispute Resolution Days following the traditional LCIA Tylney-style format, with topics submitted by delegates in advance."
EVT-241A2A0147,LCIA Tylney in Town Symposium in Copenhagen,LCIA,2026-10-04,2026-10-04,Copenhagen,Denmark,Europe,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Express interest,https://www.lcia.org/events/2026-lcia-tylney-in-town-symposium-in-copenhagen-390.aspx,,Interactive symposium following the traditional LCIA Tylney-style format for open forum discussion among arbitration practitioners.
EVT-D0D91C2167,Comprehensive Course on International Arbitration,CIArb New York Branch & Columbia Law School,2026-10-05,2026-10-08,New York,United States,North America,In-person,Arbitration; Disputes,Mixed,Paid,Register,https://www.ciarb.org/events/comprehensive-course-on-international-arbitration/,,"Four-day intensive course covering law and practice of international arbitration, jointly organized by CIArb New York Branch and Columbia Law School."
EVT-792E0D31BF,4th Annual Women in AML & Sanctions Forum,ACI,2026-10-06,2026-10-07,"Washington, D.C.",United States,North America,In-person,AML; Sanctions; Financial Crime; Compliance,Mixed,Paid,Save 10% with code D10-999-ICLG27,https://www.cdr-news.com/conferences/4th-annual-women-in-aml-sanctions-forum,,"Two-day forum focused on anti-money laundering and sanctions compliance, promoting diversity and professional development for women in financial crime prevention."
EVT-6A2278A656,4th Annual Women in AML & Sanctions Forum,Unknown,2026-10-06,2026-10-07,"Washington, DC",United States,North America,In-person,AML; Sanctions; Financial Crime; Networking,Mixed,Paid,Save 10% with code: D10-999-ICLG27,https://www.cdr-news.com/conferences/4th-annual-women-in-aml-sanctions-forum,,"Two-day forum focused on anti-money laundering and sanctions compliance, convening women professionals in the field at the District of Columbia Bar."
EVT-701718A39D,4th Annual Women in AML & Sanctions Forum,Unknown,2026-10-06,2026-10-07,Washington,United States,North America,In-person,AML; Sanctions; Financial Crime; Networking,Mixed,Paid,Save 10% with code: D10-999-ICLG27,https://www.cdr-news.com/conferences/4th-annual-women-in-aml-sanctions-forum,,"Fourth annual forum focused on anti-money laundering and sanctions compliance, bringing together women professionals and leaders in the financial crime prevention sector."
EVT-0F5D450DB5,North East Branch Mock Mediation - Another brick in the wall,CIArb North East Branch,2026-10-07,2026-10-07,Virtual,UK,UK,Virtual,Mediation; Disputes,Mixed,Free,Register,https://www.ciarb.org/events/north-east-branch-mock-mediation-another-brick-in-the-wall/,,Interactive mock mediation combining entertainment and practical learning. Participants observe a simulated mediation scenario for professional development in dispute resolution techniques.
EVT-6109AA670C,Annual Arbitration & ADR Conference,ICC United Kingdom,2026-10-13,2026-10-14,London,United Kingdom,UK,In-person,Arbitration; Mediation; Disputes,Mixed,Paid,"Members - £225 +VAT, Non-members - £450 +VAT",https://iccwbo.uk/events/annual-arbitration-adr-conference-13-14-october-2026/,Flagship,"Two-day flagship conference covering current developments in international arbitration and alternative dispute resolution, featuring leading practitioners and arbitrators."
EVT-8D5822580B,LCIA Tylney in Town Symposium in Melbourne,LCIA,2026-10-13,2026-10-13,Melbourne,Australia,APAC,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Register,https://www.lcia.org/events/2026-lcia-tylney-in-town-symposium-in-melbourne-394.aspx,,"Symposium during Australia Arbitration Week following the traditional LCIA Tylney-style format, based on delegate-submitted topics."
EVT-959539158D,Pathways into Mediation,CIArb,2026-10-13,2026-10-13,Virtual,,Global,Virtual,Mediation; Disputes; Networking,Mixed,Free,Register,https://www.ciarb.org/events/pathways-into-mediation/,,"Event exploring career pathways and opportunities in mediation practice, hosted by the Chartered Institute of Arbitrators."
EVT-FC6D006065,Annual Arbitration & ADR Conference,ICC United Kingdom,2026-10-14,2026-10-14,London,United Kingdom,UK,In-person,Arbitration; Mediation; Disputes,Mixed,Paid,"Members - £225 +VAT, Non-members - £450 +VAT",https://iccwbo.uk/events/annual-arbitration-adr-conference-13-14-october-2026/,Flagship,"Flagship annual conference covering current developments, emerging trends, and practical insights in international arbitration and alternative dispute resolution at EY London."
EVT-64CFCF00FC,Dispute Resolution in a Geopolitical World,ICC United Kingdom,2026-10-14,2026-10-14,London,UK,UK,In-person,Arbitration; Mediation; Disputes; Policy,Mixed,Paid,"Members - £225 +VAT, Non-members - £450 +VAT",https://iccwbo.uk/events/annual-arbitration-adr-conference-14-october-2026/,Flagship,Annual flagship conference examining international arbitration and ADR against the backdrop of heightened geopolitical tensions and their impact on dispute resolution at EY London.
EVT-CA640F867C,Dispute Resolution in a Geopolitical World | Annual Arbitration & ADR Conference,ICC United Kingdom,2026-10-14,2026-10-14,London,UK,UK,In-person,Arbitration; Mediation; Disputes; Policy,Mixed,Paid,"Members - £225 +VAT, Non-members - £450 +VAT",https://iccwbo.uk/events/annual-arbitration-adr-conference-14-october-2026/,Flagship,"Annual flagship conference examining dispute resolution and arbitration in the context of geopolitical shifts, featuring expert panels and networking opportunities at EY London."
EVT-5A7E62A890,LCIA - AIEN Joint Conference: Dispute Resolution in the International Energy Business,LCIA,2026-10-15,2026-10-16,London,United Kingdom,UK,In-person,Arbitration; Disputes,Mixed,Paid,Register,https://www.lcia.org/events/2026-lcia-aien-joint-conference-dispute-resolution-in-the-inter-367.aspx,Flagship,"Two-day conference featuring leading advocates, counsel, experts and arbitrators addressing energy sector dispute resolution through panels, presentations, interviews and Q&A sessions."
EVT-7A853E241D,"15th Anniversary Edition Fraud, Asset Tracing & Recovery Miami",Unknown,2026-10-29,2026-10-30,Miami,United States,North America,In-person,Fraud; Asset Recovery; Investigations; Enforcement,Mixed,Paid,Save 10% with code: D10-999-GLG27,https://www.cdr-news.com/conferences/15th-anniversary-edition-fraud-asset-tracing-recovery-miami,Flagship,"Fifteenth anniversary edition conference focused on fraud investigation, asset tracing techniques, and recovery strategies for complex cross-border cases."
EVT-D406DF15B4,LCIA Tylney in Town Symposium in Miami,LCIA,2026-11-01,2026-11-01,Miami,USA,North America,In-person,Arbitration; Disputes,Senior,Paid,Register your interest,https://www.lcia.org/lcia-events/events_schedule.aspx,,Interactive half-day symposium during Miami Arbitration Week concluding with cocktail reception. Follows LCIA's Tylney-style format for open forum discussion.
EVT-3969F07435,LCIA Tylney in Town Symposium in New York,LCIA,2026-11-01,2026-11-30,New York,USA,North America,In-person,Arbitration; Disputes,Mixed,Paid,Express your interest here,https://www.lcia.org/lcia-events/events_schedule.aspx,,Interactive symposium during New York Arbitration Week following LCIA's traditional format. Specific date in November to be confirmed.
EVT-587E75B579,Women in International Trade & Sanctions,Unknown,2026-11-11,2026-11-11,London,United Kingdom,UK,In-person,Sanctions; Export Controls; Compliance; Networking,Mixed,Paid,Save 10% with code: D10-999-GLG27,https://www.cdr-news.com/conferences/women-in-international-trade-sanctions,,"Professional development and networking event for women working in international trade compliance, sanctions implementation, and export control regulations."
EVT-FFBD84AD1A,16th London Forum on Global Economic Sanctions,Unknown,2026-11-12,2026-11-13,London,United Kingdom,UK,In-person,Sanctions; Financial Crime; Compliance; Enforcement,Mixed,Paid,Save 10% with code: D10-999-GLG27,https://www.cdr-news.com/conferences/16th-london-forum-on-global-economic-sanctions,Flagship,"Sixteenth edition of leading forum examining global economic sanctions regimes, compliance challenges, enforcement trends, and regulatory developments across jurisdictions."
EVT-90CB79F390,Miami Arbitration Week,Miami Arbitration Society,2026-11-28,2026-12-04,Miami,USA,North America,In-person,Arbitration; Disputes,Mixed,Paid,Further information,https://www.mias.org/,,Week-long arbitration programme in Miami supported by LCIA.
EVT-E4196078B9,LCIA Tylney in Town Symposium in Miami,LCIA,2026-11-29,2026-11-29,Miami,United States,North America,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Express interest,https://www.lcia.org/events/2026-lcia-tylney-in-town-symposium-in-miami-389.aspx,,"Interactive half-day symposium during Miami Arbitration Week, ending with cocktail reception."
EVT-23D9F71C45,London Arbitration Week,London Arbitration Week,2026-11-30,2026-12-04,London,UK,UK,In-person,Arbitration; Disputes,Mixed,Paid,Further information,https://londonarbitrationweek.co.uk/,Flagship,Major week-long arbitration event in London supported by LCIA.
EVT-54E577F899,LCIA Symposium in London,LCIA,2026-12-01,2026-12-01,London,England,UK,In-person,Arbitration; Disputes,Senior,Paid,Register your interest,https://www.lcia.org/lcia-events/events_schedule.aspx,,Full-day symposium during London Arbitration Week following long-established LCIA tradition of open forum discussion. Topics submitted by delegates in advance.
EVT-817D9350CB,LCIA Tylney in Town Symposium in London,LCIA,2026-12-01,2026-12-31,London,England,UK,In-person,Arbitration; Disputes,Mixed,Paid,Express your interest,https://www.lcia.org/lcia-events/events_schedule.aspx,,Full-day symposium during London Arbitration Week following the long-established LCIA tradition of open forum discussion. Specific date within December to be confirmed.
EVT-9F79C7C67F,LCIA Tylney in Town Symposium in London,LCIA,2026-12-04,2026-12-04,London,United Kingdom,UK,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Express interest,https://www.lcia.org/lcia-events/events_schedule.aspx,,Full-day symposium during London Arbitration Week following the established LCIA tradition of open forum discussion.
EVT-9BA1018AF6,LCIA Tylney Hall Symposia,LCIA,2027-05-14,2027-05-16,Hampshire,United Kingdom,UK,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Express interest,https://www.lcia.org/lcia-events/events_schedule.aspx,Flagship,"Two-day flagship symposium at Tylney Hall following the long-established LCIA tradition of open forum discussion, based on delegate-submitted topics."
EVT-DFC521926E,YIAG Tylney Hall Symposium,LCIA YIAG,2027-05-14,2027-05-14,Hampshire,United Kingdom,UK,In-person,Arbitration,Junior,Paid,Express your interest,https://www.lcia.org/websiteform/express-your-interest-yiag-tylney-hall-symposium-2027-310.aspx,,"Half-day symposium at Tylney Hall preceding the LCIA Symposium, featuring open forum discussion on topics submitted by delegates in advance."
EVT-CA2154715F,LCIA Tylney Hall Symposia,LCIA,2027-09-17,2027-09-19,Hampshire,United Kingdom,UK,In-person,Arbitration; Disputes; Networking,Mixed,Paid,Express interest,https://www.lcia.org/lcia-events/events_schedule.aspx,Flagship,"Two-day flagship symposium at Tylney Hall following the long-established LCIA tradition of open forum discussion, based on delegate-submitted topics."
EVT-3C352674DE,YIAG Tylney Hall Symposium,LCIA YIAG,2027-09-17,2027-09-17,Hampshire,United Kingdom,UK,In-person,Arbitration,Junior,Paid,Express your interest,https://www.lcia.org/websiteform/express-your-interest-yiag-tylney-hall-symposium-2027-310.aspx,,"Half-day symposium at Tylney Hall preceding the LCIA Symposium, featuring open forum discussion on topics submitted by delegates in advance."
